,id,x,y,z,uwp,pbg,base,trade,IxExCx,ix
0,0,7.877915030778693,-8.5208141602313,13.70981660960126,B732521-A,200,,Ni,{+1}(645-3)[8679],1
1,1,-5.774071081887932,-5.538136284873751,6.258030431147171,C8C8544-9,220,,Fl Ni,{-1}(C41-2)[448A],-1
2,2,11.057273201966883,-3.9713797119092566,-1.5809177908465477,B000CBE-A,401,,As Hi In Na Va,{+4}(DB9+4)[CG7B],4
3,3,19.60756038735419,6.20924568952047,3.0915986937489537,X575568-1,103,,Ag Ni,{-2}(241+0)[5351],-2
4,4,22.496014600999022,-8.927572899474528,-4.442326585968353,C8B8515-6,503,,Fl Ni,{-2}(B40-4)[3363],-2
5,5,13.401421433060213,-10.930566655179275,5.156203470847965,C401484-A,230,,Ic Ni Va,{+0}(936-3)[3498],0
6,6,15.863181552308415,-6.009033326784147,14.573088419120628,C543202-4,501,S,Lo,{-2}(710-5)[1154],-2
7,7,9.970465896373316,0.6814702870698908,-5.059548489776821,B644267-A,600,NS,Lo,{+2}(A12+1)[6476],2
8,8,-9.401274405557231,-13.99932015971741,17.450742643884332,A433213-A,432,N,Lo,{+1}(811+3)[1398],1
9,9,10.869563022767592,-10.753737849705614,11.075537804628082,C388366-9,212,S,Lo,{-1}(A20+0)[5258],-1
10,10,0.5265781969285288,-13.34142280220873,-12.168201522726264,B464385-6,512,,Lo,{-1}(A20+1)[3259],-1
11,11,-9.62702592871853,-10.268275120393255,-4.92135912986239,DDBA225-5,610,S,Fl Lo,{-3}(810-1)[21A6],-3
12,12,18.228687462128057,-6.405045970157502,-1.765904130492929,B635BDD-5,602,,Hi In,{+2}(7A8-1)[BD23],2
13,13,-2.4172689046120297,-11.653998506415974,-16.599433676609728,B336532-8,300,,Ni,{-1}(443+0)[448D],-1
14,14,-8.39754973608554,-16.571411309928724,6.165794638016892,DFBA527-8,302,S,Fl Ni,{-3}(742+0)[921B],-3
15,15,10.765633826122551,-2.2605196626179325,5.980625415741003,E534567-3,804,,Ni,{-3}(740-1)[3265],-3
16,16,0.37509745473108813,-1.3514123052383586,20.115493136469404,C878866-3,803,,,{-1}(777+1)[7755],-1
17,17,5.69827287975494,-22.33043046639732,6.192157567145124,C69349C-3,402,S,Ni,{-2}(434-2)[1277],-2
18,18,18.17831087579089,-5.5217040941903,-15.887459524882946,A8AA210-D,202,,Fl Lo,{+1}(911+1)[435D],1
19,19,19.01883259616261,14.82823397324074,4.428539489642352,CFBA214-B,520,,Fl Lo,{+0}(510+0)[626C],0
20,20,16.06547166025589,6.0037966818020925,0.650705237196586,C941698-6,402,,Ni Po,{-2}(954+1)[7476],-2
21,21,-9.665767957280174,-1.4951872470452876,-19.56719513057833,A2009AB-E,100,,Hi In Na Va,{+4}(58C-3)[AD1D],4
22,22,-9.166044976451616,4.1464457637669145,12.035573524616577,E66349D-1,112,,Ni,{-3}(430+0)[2171],-3
23,23,-2.7375387741839785,-3.7284953320714855,-9.432388167674583,C9BA485-7,103,S,Fl Ni,{-2}(832-4)[1247],-2
24,24,2.5332796155247808,7.408519112717915,-1.8595686961754787,B596566-9,521,NS,Ag Ni,{+2}(D46+0)[7718],2
25,25,-10.975452203134124,18.74154561164306,9.164950401257194,AD96223-A,410,,Lo,{+1}(511+0)[5359],1
26,26,14.334782368787447,-9.41665521743289,3.958355229503574,B695633-8,100,,Ag Ni,{+0}(652+4)[5679],0
27,27,-9.240868959401,1.2991692384409392,2.602833982956554,C8B7675-8,800,,Fl Ni,{-2}(951-1)[8476],-2
28,28,-7.233196380616491,-6.941080593689675,7.71935497370384,B579574-8,603,,Ni,{-1}(844+0)[2488],-1
29,29,-13.248947741566763,3.239734715794418,6.757785946234951,D312654-4,420,S,Ic Na Ni,{-3}(752+2)[8322],-3
30,30,2.6664106191528925,21.0541760866513,-5.584914607777641,A2208DJ-C,703,N,De Na Po,{+2}(A7C-2)[6A7D],2
31,31,5.881488985077649,4.598845601593449,-20.04381258154696,C20426A-A,120,,Ic Lo Va,{+0}(D10+1)[225B],0
32,32,-6.528558303169701,-13.740175897734208,11.00367261533226,A783200-8,602,NS,Lo,{+0}(910-3)[126A],0
33,33,7.943035427157019,11.883763487549503,-18.71772615060458,B641787-6,312,,Po,{+0}(964+4)[5774],0
34,34,-8.616851516844177,-14.228644146373199,3.3191135268703653,E794211-2,200,,Lo,{-3}(910+2)[1154],-3
35,35,16.599084839403854,10.164596701227824,-1.6919769847306643,B479340-B,222,NS,Lo,{+2}(822-5)[4518],2
36,36,-9.215178639958916,-14.375400583626707,12.654818240465493,B411331-A,502,NS,Ic Lo,{+2}(922+0)[553C],2
37,37,-0.4975395134395155,-3.926326581959494,21.92476637191993,E504444-5,122,,Ic Ni Va,{-3}(A30-1)[4186],-3
38,38,0.3728439018993446,-17.445402927246924,8.573989260309267,B234676-9,622,NS,Ni,{+1}(B55+1)[9786],1
39,39,-19.703334359883122,-1.3314610397472615,13.973005146860833,B683864-7,300,,Ri,{+1}(879-1)[D918],1
40,40,4.324459726931551,14.599554886146688,-16.87392657919839,B9CA457-A,530,,Fl Ni,{+1}(637-3)[354A],1
41,41,-8.776976829635197,-9.85319447867995,0.9224694776539255,A876686-B,310,N,Ag Ni,{+2}(857+0)[A88A],2
42,42,6.901089658482134,2.1972921456699823,13.682044554280088,C9AA463-A,102,S,Fl Ni,{+0}(932-3)[447C],0
43,43,-19.194356684174206,-9.385958326149007,-6.100621455359051,B7AA434-8,130,,Fl Ni,{-1}(A32+0)[8369],-1
44,44,13.3841916898099,-4.252893423113796,19.041081324577352,B688100-6,401,NS,Lo,{+0}(600-4)[1153],0
45,45,6.166605860513602,15.734137671515459,-10.271044253394523,A403473-E,931,,Ic Ni Va,{+1}(B33-1)[256G],1
46,46,-17.293908445237815,7.587845307468555,14.492508249459068,A13088B-D,400,N,De Na Po,{+2}(479+2)[DA9D],2
47,47,10.135415095323502,-20.4511843232977,0.07227500625512362,A66A632-A,302,,Ni Ri,{+2}(C58-2)[7876],2
48,48,14.890127085406085,7.075815595750706,-15.89983668814593,B259A7A-9,602,,Hi,{+2}(D95-1)[9C79],2
49,49,1.147480979654114,8.942308892006684,8.83598548149479,C662322-5,733,,Lo,{-2}(720-1)[2165],-2
50,50,4.268898755620215,11.878474692097546,-4.149293398806236,C334889-5,412,S,,{-1}(975+3)[8799],-1
51,51,14.804904502033445,2.374247149101505,-14.961018615256776,E885388-4,412,,Lo,{-3}(620+0)[1148],-3
52,52,11.590204252933944,19.170332815065816,7.1349546937518324,A574642-A,800,NS,Ag Ni,{+3}(857-2)[195A],3
53,53,14.00351030974864,-12.808315534422693,-13.245839152397048,E420987-7,702,,De Hi In Na Po,{+0}(38A-1)[C966],0
54,54,4.9418929620717424,19.995529937504962,-13.256109859859317,C311222-A,420,S,Ic Lo,{+0}(810-3)[624B],0
55,55,-6.891360005622271,-0.9674548872445898,4.4223192175069315,B234101-8,732,,Lo,{-1}(A00+1)[6187],-1
56,56,1.3328544821375798,9.724949813157856,6.936204959321141,B874331-8,302,,Lo,{-1}(620+1)[729C],-1
57,57,4.137851569247314,-3.490426668736207,-14.629704716854059,A6AA345-E,200,N,Fl Lo,{+1}(621+1)[348J],1
58,58,16.892505784411803,16.227009326804843,-0.5139891416553188,A430311-B,400,,De Lo Po,{+1}(421-1)[547C],1
59,59,-0.47352376827212717,4.129042267270161,-2.7193917616629095,A877696-9,402,,Ag Ni,{+1}(456-1)[5759],1
60,60,16.37867693689541,5.4198764347737685,3.054934638714829,E5788AE-5,330,,,{-2}(872+0)[5617],-2
61,61,16.705611188435903,-2.902495884440681,-4.7715308802743275,E100564-7,710,,Ni Va,{-3}(943-1)[5269],-3
62,62,5.148136247568713,3.950316692046046,-3.4557424791508695,C211776-8,620,,Ic Na,{-1}(963+4)[9643],-1
63,63,0.07051762255200211,12.234659182267581,-20.177979230057275,X453477-0,310,,Ni,{-3}(733+1)[6161],-3
64,64,-19.17051414631657,-0.044460823805564376,6.0527621470761686,C520325-8,212,,De Lo Po,{-2}(D20-2)[2198],-2
