,id,x,y,uwp,pbg,base,trade,ixexcx,ix
0,0,69.93750405886017,23.10825237106897,B732521-A,432,,Ni,{+1}(F47-3)[563C],1
1,1,72.91271469724079,-54.916613358810906,C8C8544-9,133,,Fl Ni,{-1}(A43+2)[5458],-1
2,2,40.97556945918721,64.16858184383022,B000CBE-A,303,,As Hi In Na Va,{+4}(DBG+2)[EG15],4
3,3,-31.14639042406313,-82.84657025035122,X575568-1,203,,Ag Ni,{-2}(641+0)[6362],-2
4,4,91.45350478910788,8.454321980308332,C8B8515-6,702,,Fl Ni,{-2}(744-2)[3366],-2
5,5,-79.61623778159384,-35.50674082882546,C401484-A,133,S,Ic Ni Va,{+0}(A32-1)[441E],0
6,6,-55.696419877382276,-50.835903873730935,C543202-4,801,S,Lo,{-2}(210+1)[3175],-2
7,7,-38.069986388096375,26.320970486618435,B644267-A,502,,Lo,{+1}(B11-1)[136B],1
8,8,-58.650057999430636,-65.6574529237113,A433213-A,403,N,Lo,{+1}(711-5)[138B],1
9,9,16.250261517008703,-48.16810247680476,C388366-9,702,,Lo,{-1}(A20+2)[5235],-1
10,10,57.37428659136927,58.813542723165654,B464385-6,422,,Lo,{-1}(820-2)[1276],-1
11,11,-54.032455416901,-83.3184191965852,DDBA225-5,521,S,Fl Lo,{-3}(810-2)[1166],-3
12,12,97.35646471604502,10.748087697465891,B635BDD-5,502,,Hi In,{+2}(8AA-4)[AD92],2
13,13,34.87027807691554,-74.17274675886844,B336532-8,602,,Ni,{-1}(C41+2)[4426],-1
14,14,-62.551504712484544,28.106645877810067,DFBA527-8,213,,Fl Ni,{-3}(B40-2)[3266],-3
15,15,98.07160548057554,-10.48481303495774,E534567-3,910,,Ni,{-3}(741+0)[5252],-3
16,16,43.912335955845585,-88.05551217118285,C878866-3,300,S,,{-1}(C7B-1)[5742],-1
17,17,-80.1544776991714,1.819174232225662,C69349C-3,500,,Ni,{-2}(234-2)[5265],-2
18,18,-42.751429630897576,-50.351611793984084,A8AA210-D,400,NS,Fl Lo,{+2}(412+1)[147B],2
19,19,47.68593098608975,-71.79284678613939,CFBA214-B,302,,Fl Lo,{+0}(B10-1)[427F],0
20,20,40.27441304749946,41.4146300055009,C941698-6,503,S,Ni Po,{-2}(351+3)[8433],-2
21,21,-56.24885800874002,72.19036590677838,A2009AB-E,400,N,Hi In Na Va,{+4}(B89+3)[9D6G],4
22,22,-48.5748366867653,21.689146222477174,E66349D-1,622,,Ni,{-3}(730-2)[7124],-3
23,23,4.926148523824647,36.66409105194746,C9BA485-7,522,S,Fl Ni,{-2}(A30+1)[3255],-2
24,24,-1.0597816359419365,-78.75992913576326,B596566-9,700,,Ag Ni,{+1}(942+1)[565A],1
25,25,-39.49735609871983,88.50063777632451,AD96223-A,431,,Lo,{+1}(C11-2)[335A],1
26,26,5.602951464177619,44.87710804293519,B695633-8,100,,Ag Ni,{+0}(752-2)[1696],0
27,27,-65.35427824797672,39.327337761959555,C8B7675-8,202,,Fl Ni,{-2}(753-1)[147B],-2
28,28,-34.01222011787066,8.346470088409763,B579574-8,810,,Ni,{-1}(844+3)[645A],-1
29,29,24.9641272795879,-22.80832686031453,D312654-4,424,S,Ic Na Ni,{-3}(750-2)[3364],-3
30,30,16.057210425142856,96.83859765732727,A2208DJ-C,200,,De Na Po,{+2}(A7A+0)[8A9A],2
31,31,29.822696120651273,-33.44618775106076,C20426A-A,401,,Ic Lo Va,{+0}(610-1)[126A],0
32,32,-65.44863819708465,46.7671132484132,A783200-8,412,,Lo,{-1}(610+2)[3183],-1
33,33,-26.225177568341373,18.35910884961498,B641787-6,403,,Po,{+0}(36A+0)[A774],0
34,34,-72.17536524067481,17.865104498516082,E794211-2,100,,Lo,{-3}(410-2)[4162],-3
35,35,18.518801358159397,81.51853106870375,B479340-B,302,,Lo,{+1}(921+2)[142C],1
36,36,-34.338988868079,-68.36292068701775,B411331-A,502,,Ic Lo,{+1}(521+3)[6426],1
37,37,17.154104796082237,3.4632035115307547,E504444-5,621,,Ic Ni Va,{-3}(A32-2)[1125],-3
38,38,37.4260312016822,-92.1051006998076,B234676-9,132,,Ni,{+0}(C51+1)[5628],0
39,39,94.27555032755176,23.169057028547748,B683864-7,304,,Ri,{+1}(97D+1)[8947],1
40,40,-34.19220262932399,-9.39296423514131,B9CA457-A,102,,Fl Ni,{+1}(835+4)[2548],1
41,41,62.62339044869503,33.614079625721985,A876686-B,302,,Ag Ni,{+2}(A58+2)[B86C],2
42,42,6.868356819585575,-94.88303855422973,C9AA463-A,402,,Fl Ni,{+0}(834+2)[247D],0
43,43,33.679397294683234,23.062193389663776,B7AA434-8,402,,Fl Ni,{-1}(934+2)[434B],-1
44,44,62.3778055809866,-54.59855636893754,B688100-6,502,NS,Lo,{+0}(800-3)[2144],0
45,45,39.37924023420338,25.634069387750902,A403473-E,602,N,Ic Ni Va,{+1}(634+3)[356D],1
46,46,51.78099570110095,58.72966299848918,A13088B-D,402,NS,De Na Po,{+3}(97E-3)[9B3C],3
47,47,-35.80107750561741,73.15333600614717,A66A632-A,212,N,Ni Ri,{+2}(B53+4)[5858],2
48,48,-35.60843532170996,-2.069954094358506,B259A7A-9,201,,Hi,{+2}(898-4)[7C39],2
49,49,-49.168489460117534,60.48290162877299,C662322-5,500,S,Lo,{-2}(420-3)[4115],-2
50,50,61.99837776277288,-74.35341937512146,C334889-5,622,,,{-1}(679-3)[7744],-1
51,51,70.51587699405152,-55.655156833986275,E885388-4,612,,Lo,{-3}(B20+0)[6115],-3
52,52,-78.35460243321128,-7.20168117017741,A574642-A,800,N,Ag Ni,{+2}(A58+0)[584C],2
53,53,-39.484398536483845,45.360523639673,E420987-7,322,,De Hi In Na Po,{+0}(484+4)[7965],0
54,54,-51.54986769061172,-24.62034654793466,C311222-A,410,S,Ic Lo,{+0}(510+0)[327C],0
55,55,60.42783663683397,20.45039442611445,B234101-8,334,NS,Lo,{+0}(E00+2)[613A],0
56,56,24.314164300507034,-67.16054983427799,B874331-8,700,NS,Lo,{+0}(620+1)[2374],0
57,57,-56.717752044928375,-74.39611749607111,A6AA345-E,631,,Fl Lo,{+1}(D21+3)[449A],1
58,58,-25.7723383806578,-43.70057945159249,A430311-B,431,NS,De Lo Po,{+2}(822-1)[4586],2
59,59,-69.000321208314,20.23607461246153,A877696-9,202,,Ag Ni,{+1}(856+1)[571A],1
60,60,-69.02018901471578,68.23917454270148,E5788AE-5,101,,,{-2}(572-1)[8645],-2
61,61,94.48230454699787,-12.579210310317702,E100564-7,300,,Ni Va,{-3}(640+3)[1296],-3
62,62,-1.7668213314987469,-6.418006039435853,C211776-8,530,,Ic Na,{-1}(969+2)[7658],-1
63,63,-32.60548805820234,-6.319171940226442,X453477-0,602,,Ni,{-3}(A30+3)[8173],-3
64,64,20.119645148152856,4.048764715743869,C520325-8,604,S,De Lo Po,{-2}(E20+3)[4165],-2
65,65,-15.28810027758809,-41.992912014815346,A8D9002-C,001,N,,{+1}(500-2)[1111],1
66,66,-70.30335349002009,-66.22582140199242,B684355-6,200,NS,Lo,{+0}(B20-2)[6388],0
67,67,-50.06189834917076,17.626235891328747,C4558CD-5,410,,,{-1}(672-1)[8733],-1
68,68,28.5738066741811,-38.782255457064906,C265633-7,212,S,Ag Ni Ri,{+0}(851+1)[4687],0
69,69,-39.197830340199545,-60.94489295422958,C2209A9-B,533,,De Hi In Na Po,{+3}(E8B-3)[8C5B],3
70,70,-17.94832625587064,92.95636271300918,C859340-7,401,,Lo,{-2}(820+1)[3187],-2
71,71,-8.156494826829963,22.768801582110477,E435665-4,402,,Ni,{-3}(653-1)[4364],-3
72,72,36.8840128472431,-6.046854534421309,B630220-9,101,,De Lo Po,{+0}(A10-1)[2244],0
73,73,-49.95862330901593,27.679030795454374,B9AA972-D,521,,Fl Hi In,{+4}(C88-1)[6D2B],4
74,74,70.92832399664411,-44.28159447531872,B684645-8,532,NS,Ag Ni Ri,{+2}(D55+0)[5836],2
75,75,67.95404330248356,52.289968935879806,C49669B-8,820,,Ag Ni,{-1}(A50-4)[5577],-1
76,76,81.706198979193,-19.010833818512275,C884749-4,624,,Ag Ri,{+1}(764+3)[9816],1
77,77,-34.05250854125597,82.35260736309729,A565864-A,130,NS,Ri,{+4}(A79-2)[9C48],4
78,78,9.059979619558689,55.9092464105164,B401110-8,300,NS,Ic Lo Va,{+0}(600-2)[113A],0
79,79,8.370296566264269,-52.53139703102021,E220541-9,700,,De Ni Po,{-2}(742-3)[4359],-2
80,80,31.975020941748266,71.60479922912985,D643432-5,102,S,Ni,{-3}(730-2)[3131],-3
81,81,81.25695692902701,-54.8626231545543,C695586-8,500,,Ag Ni,{-1}(740+2)[146B],-1
82,82,47.8072935456421,-66.88822330328202,B867644-7,830,,Ag Ni Ri,{+1}(857+1)[6736],1
83,83,9.230331734993813,35.02576350457971,D684563-4,712,S,Ag Ni,{-2}(442+1)[3333],-2
84,84,80.2804388169864,2.05782413705482,A76A989-A,722,NS,Hi,{+4}(D8D-3)[9D5A],4
85,85,15.669534624055782,-97.09109833447864,E402140-5,230,,Ic Lo Va,{-3}(900-1)[111A],-3
86,86,77.60237231694715,54.3451853898886,D495664-6,203,,Ag Ni,{-2}(850+1)[5487],-2
87,87,77.4103634162142,-43.73639326336745,C452125-9,401,S,Lo,{-1}(C00+4)[2157],-1
88,88,25.157370503449904,-89.44324586916996,B6759A7-A,404,,Hi In,{+4}(88D+0)[7DAC],4
89,89,-9.388928849282063,38.236007420181316,E7AA114-7,232,,Fl Lo,{-3}(600-1)[6157],-3
90,90,-84.15010601887445,-34.601070948661985,C681831-3,610,,Ri,{+0}(775+3)[6814],0
91,91,-75.09929891999853,34.38279664728556,E668353-5,530,,Lo,{-3}(920+2)[4121],-3
92,92,23.82041763763274,80.78446259516087,A6A59A8-9,530,,Fl Hi In,{+3}(A89+3)[AC59],3
93,93,7.931795479596171,-51.139610108190055,D632447-7,702,S,Ni,{-3}(531+4)[517B],-3
94,94,-7.067054588510779,-6.370323718374427,A437233-C,404,,Lo,{+1}(911+0)[633C],1
95,95,31.363778171968313,17.14218781466512,A585751-9,310,NS,Ag Ri,{+4}(46A+0)[3B8D],4
96,96,31.65689747545901,-25.207902686194174,C321657-A,400,,Na Ni Po,{+0}(755+1)[A65E],0
97,97,-55.22672403691686,-46.28178935576022,C644301-6,500,S,Lo,{-2}(620+3)[3158],-2
98,98,69.8382816765863,-39.99853230653867,D120521-7,432,S,De Ni Po,{-3}(C41-2)[524B],-3
99,99,72.76354705138964,-29.613077110283513,DEFA575-4,203,S,Ni,{-3}(841-1)[5254],-3
100,100,15.059967617467418,23.004322994128444,C335764-5,602,S,,{-1}(468+2)[7615],-1
