,id,x,y,z,uwp,pbg,base,trade,IxExCx,ix
0,0,-9.226288250778246,-8.311216505236295,-21.622191243000703,B732521-A,200,,Ni ,{+1}(645-3)[8679],1
1,1,10.756207195876378,7.334453497133286,11.258492864246817,C8C8544-9,220,,Fl Ni ,{-1}(C41-2)[448A],-1
2,2,7.481227213466673,-3.6548841964621603,19.266399904629424,B000CBE-A,401,,As Hi In Na Va ,{+2}(DB7+4)[CE7B],2
3,3,8.690063854866331,-1.6818152018808152,-14.015987161152799,X575568-1,103,,Ag Ni ,{-3}(240+0)[5251],-3
4,4,5.103464357460336,-11.143635085430304,6.0036565849750705,C8B8515-6,503,,Fl Ni ,{-2}(B40-4)[3363],-2
5,5,13.898995251012552,9.366591347965898,-11.16179314687622,C401484-A,230,,Ic Ni Va ,{+0}(936-3)[3498],0
6,6,-17.229350283796123,-2.8289409651615305,-11.227832664705911,C543202-4,501,S,Lo ,{-2}(710-5)[1154],-2
7,7,-23.581616587841886,-4.775645892471686,3.0509286944266414,B644267-A,600,NS,Lo ,{+2}(A12+1)[6476],2
8,8,0.5166889265504515,21.44983651193909,8.120205546525167,A433213-A,432,N,Lo ,{+1}(811+3)[1398],1
9,9,0.5372503325575095,6.233747085691322,18.38450250747941,C388366-9,212,S,Lo ,{-1}(A20+0)[5258],-1
10,10,-4.108030149537134,7.042463617001826,13.94635813879161,B464385-6,512,,Lo ,{-1}(A20+1)[3259],-1
11,11,-12.27145863456281,10.010438848023329,5.501240210640801,DDBA225-5,610,S,Fl Lo ,{-3}(810-1)[21A6],-3
12,12,-9.214265577143932,21.4825977940799,4.422822628669376,B635BDD-5,602,,Hi In ,{+0}(7A6-1)[BB23],0
13,13,-12.995922009151306,1.507395483128704,8.771580629163218,B336532-8,300,,Ni ,{-1}(443+0)[448D],-1
14,14,8.848038753150172,6.816439722189243,3.3131243244797384,DFBA527-8,302,S,Fl Ni ,{-3}(742+0)[921B],-3
15,15,8.454564428158811,11.01006192337628,-4.386253558589054,E534567-3,804,,Ni ,{-3}(740-1)[3265],-3
16,16,17.251445265427222,13.272278417310634,-10.075311198772308,C878866-3,803,,,{-1}(777+1)[7755],-1
17,17,10.151328845237812,-1.4781593081174826,10.976581465233187,C69349C-3,402,S,Ni ,{-2}(434-2)[1277],-2
18,18,11.98249938537973,-1.9194603336808558,-1.7780336110916228,A8AA210-D,202,,Fl Lo ,{+1}(911+1)[435D],1
19,19,0.0037026735318745896,-2.2274600166445166,8.421307014794888,CFBA214-B,520,,Fl Lo ,{+0}(510+0)[626C],0
20,20,-18.613148964882654,-0.9574174987758199,-0.30032999689016404,C941698-6,402,,Ni Po ,{-2}(954+1)[7476],-2
