,id,x,y,uwp,pbg,base,trade,ixexcx,ix
0,0,-11.599448687334668,35.804696888846976,B732521-A,432,,Ni ,{+1}(F47-3)[563C],1
1,1,-36.488692404819666,6.312177883303738,C8C8544-9,133,,Fl Ni ,{-1}(A43+2)[5458],-1
2,2,-5.764492485307038,76.29286498956056,B000CBE-A,303,,As Hi In Na Va ,{+2}(DBE+2)[EE15],2
3,3,-71.92337775098234,17.980043350298235,X575568-1,203,,Ag Ni ,{-3}(640+0)[6262],-3
4,4,99.53296749634515,4.175111584165658,C8B8515-6,702,,Fl Ni ,{-2}(744-2)[3366],-2
5,5,-6.901942022935392,94.09563467998012,C401484-A,133,S,Ic Ni Va ,{+0}(A32-1)[441E],0
6,6,68.37761453356211,9.975476360594726,C543202-4,801,S,Lo ,{-2}(210+1)[3175],-2
7,7,-69.38350356304743,46.171126139110406,B644267-A,502,,Lo ,{+1}(B11-1)[136B],1
8,8,16.156033630482657,81.54597030227255,A433213-A,403,N,Lo ,{+1}(711-5)[138B],1
9,9,-70.76814740367246,-7.777276489363749,C388366-9,702,,Lo ,{-1}(A20+2)[5235],-1
10,10,-6.688220455506033,0.7998766400174828,B464385-6,422,,Lo ,{-1}(820-2)[1276],-1
11,11,77.3604990711203,-59.15565595740966,DDBA225-5,521,S,Fl Lo ,{-3}(810-2)[1166],-3
12,12,-20.376319348456605,-11.809309052613926,B635BDD-5,502,,Hi In ,{+0}(8A8-4)[AB92],0
13,13,10.990013272048493,-64.10899288519386,B336532-8,602,,Ni ,{-1}(C41+2)[4426],-1
14,14,-9.582717177059742,-83.8481707853729,DFBA527-8,213,,Fl Ni ,{-3}(B40-2)[3266],-3
15,15,-13.87531200190466,-98.1838311497968,E534567-3,910,,Ni ,{-3}(741+0)[5252],-3
16,16,4.837165130954824,55.54427391347112,C878866-3,300,S,,{-1}(C7B-1)[5742],-1
17,17,15.611126216492188,-93.43528029191381,C69349C-3,500,,Ni ,{-2}(234-2)[5265],-2
18,18,70.38663785190644,4.878191997327863,A8AA210-D,400,NS,Fl Lo ,{+2}(412+1)[147B],2
19,19,-80.86901054727001,-28.024631365058816,CFBA214-B,302,,Fl Lo ,{+0}(B10-1)[427F],0
20,20,39.34150027185615,0.8166141159771101,C941698-6,503,S,Ni Po ,{-2}(351+3)[8433],-2
21,21,60.88226265854655,3.0063769439675037,A2009AB-E,400,N,Hi In Na Va ,{+2}(B87+3)[9B6G],2
22,22,-51.27576786300383,49.652903113708135,E66349D-1,622,,Ni ,{-3}(730-2)[7124],-3
23,23,84.19977186209576,40.1527748739211,C9BA485-7,522,S,Fl Ni ,{-2}(A30+1)[3255],-2
24,24,-66.0053165330768,28.959604406473826,B596566-9,700,,Ag Ni ,{+0}(941+1)[555A],0
25,25,61.070386919240114,-24.49056155975309,AD96223-A,431,,Lo ,{+1}(C11-2)[335A],1
26,26,-1.1814770951495968,-39.17898664415871,B695633-8,100,,Ag Ni ,{-1}(751-2)[1596],-1
27,27,-41.03460655310711,-64.80661579000262,C8B7675-8,202,,Fl Ni ,{-2}(753-1)[147B],-2
28,28,-14.537173542556081,-39.21298743843818,B579574-8,810,,Ni ,{-1}(844+3)[645A],-1
29,29,10.525922315622882,58.60284219910243,D312654-4,424,S,Ic Na Ni ,{-3}(750-2)[3364],-3
